O - 67, o - 78
O - 123, o - 88
O - 111, o - 118
O - 88, o - 117
O - 114, o - 105
O - 106, o - 89
O - 129, o - 140
O - 93, o - 80
O - 96, o - 106
O - 108, o - 75
O - 137, o - 109
O - 83, o - 82
O - 106, o - 94
O - 76, o - 85
O - 95, o - 95
O - 60, o - 94
O - 107, o - 116
O - 78, o - 76
O - 90, o - 113
O - 137, o - 121
O - 106, o - 107
O - 116, o - 134
O - 89, o - 106
O - 117, o - 139
O - 86, o - 95
O - 123, o - 106
O - 105, o - 81
O - 112, o - 108
O - 80, o - 90
O - 83, o - 123
O - 93, o - 73
O - 127, o - 100
O - 82, o - 84
O - 101, o - 96
O - 74, o - 88
O - 104, o - 67
O - 86, o - 70
O - 119, o - 93
O - 124, o - 104
O - 92, o - 86
O - 139, o - 106
O - 99, o - 103
O - 109, o - 124
O - 79, o - 103
O - 118, o - 119
O - 84, o - 75
O - 125, o - 108
O - 71, o - 103
O - 100, o - 114
O - 83, o - 92
O - 98, o - 106
O - 84, o - 82
O - 96, o - 102
